lake_name,sampling_date,gps_coordinates_utm,latitude,longitude,sample_depth_m,chlorophyll_concentration_ug/L,pheophytin_concentration_ug/L,total_chlorophyll_pheophytin_ug/L,sample_volume_L,percent_filtered,chlorophyll_665nm_absorbancy,chlorophyll_750nm_absorbancy,pheophytin_665nm_absorbancy,pheophytin_750nm_absorbancy,notes
Devonian,2017-Jun-14,14U 0627523 5520102,49.81979,-97.22719,0,4,4,7,0.2,100,0.03,0.012,0.02,0.006,
Lake 3,2017-Jun-14,14U 0627538 5519851,49.81753,-97.22706,0,6,0,6,0.2,100,0.025,0.009,0.014,0.005,
Lake 2,2017-Jun-14,14U 0627580 5519673,49.81592,-97.22654,0,32,0,32,0.2,100,0.099,0.008,0.062,0.007,
Muir,2017-Jun-14,14U 0627940 5519722,49.81629,-97.22152,0,11,0,11,0.2,100,0.043,0.008,0.032,0.01,
Cargill,2017-Jun-14,14U 0628021 5520791,49.82588,-97.22004,0,58,0,58,0.2,100,0.235,0.075,0.126,0.032,
Devonian,2017-Jun-14,14U 0627523 5520102,49.81979,-97.22719,6,7,1,8,0.2,100,0.028,0.005,0.018,0.003,
Lake 3,2017-Jun-14,14U 0627538 5519851,49.81753,-97.22706,5,4,8,12,0.2,100,0.036,0.007,0.032,0.008,labelled L2
Lake 2,2017-Jun-14,14U 0627580 5519673,49.81592,-97.22654,7,19,15,34,0.2,100,0.108,0.018,0.08,0.012,labelled L2
Muir,2017-Jun-14,14U 0627940 5519722,49.81629,-97.22152,7,11,16,28,0.2,100,0.074,0.006,0.06,0.005,
Cargill,2017-Jun-14,14U 0628021 5520791,49.82588,-97.22004,7,57,0,57,0.2,100,0.209,0.044,0.125,0.025,
Devonian,2017-Jul-14,14U 0627523 5520102,49.81979,-97.22719,0,32,3,34,0.2,100,0.117,0.014,0.076,0.009,
Lake 3,2017-Jul-14,14U 0627538 5519851,49.81753,-97.22706,0,28,0,28,0.2,100,0.085,0.008,0.055,0.01,
